Text,Star Rating,Date,Len
Tastes great and leaves my mouth feeling fresh,5,7/1/2025,8
Didn't notice any whitening even after 2 weeks,2,6/28/2025,8
Nice packaging but the cap broke in a week,3,6/20/2025,9
Gentle on sensitive teeth and works well,4,7/10/2025,7
Whitening effect is noticeable within days!,5,7/12/2025,6
"Flavor is too strong for me, not a fan",2,6/18/2025,9
"Arrived damaged, packaging was poor",1,6/25/2025,5
"Great for sensitive gums, no irritation at all",5,7/5/2025,8
No change in whiteness and tastes bad,1,6/30/2025,7
Well-packaged and refreshing mint flavor,4,7/8/2025,5
"Used for a month, good whitening results after 10 days. Mint flavor is nice and mouth feels fresh. Tube could be bigger for the price.",4,7/15/2025,25
Didn't work at all. Used twice daily for 3 weeks with no whitening. Taste is okay but too expensive for regular toothpaste.,2,7/3/2025,22
"Great for sensitive teeth! No pain or discomfort and my teeth look whiter. Smooth texture, not gritty like others.",5,6/22/2025,19
Caused mouth sores and gum irritation within a week. Too harsh for daily use. Had to stop and see dentist.,1,6/27/2025,20
Perfect whitening toothpaste! Coffee and wine stains are gone after 6 weeks. People notice how white my teeth look now.,5,7/18/2025,20
Mixed results. Some whitening after 3 weeks but taste is artificial and medicinal. Cap breaks easily and leaks.,3,7/6/2025,18
